Title,Distributor,ReleaseDateUS,Budget,OpeningWeekendNorthAmerica,NorthAmerica,OtherTerritories,Worldwide,Rotten Tomatoesin%,Metacritic,CinemaScore,CinemaScore,MainCharacter,,ROI
Howard the Duck,Universal Pictures,8/1/1986 0:00,37000000,5070136,16295774,21667000,37962774,14,28,B,B-,Howard the Duck,,1.026020919
Blade,New Line Cinema,8/21/1998 0:00,45000000,17073856,70087718,61095812,131183530,57,47,A,A-,Blade,,2.915189556
X-Men,20th Century Fox,7/14/2000 0:00,75000000,54471475,157299717,139039810,296339527,82,64,A,A-,X-Men/Wolverine,,3.951193693
Blade II,New Line Cinema,3/22/2002 0:00,54000000,32528016,82348319,72661713,155010032,57,52,B,B+,Blade,,2.870556148
Spider-Man,Sony Pictures,5/3/2002 0:00,139000000,114844116,403706375,418002176,821708551,90,73,A,A-,Spider-Man,,5.911572309
Daredevil,20th Century Fox,2/14/2003 0:00,78000000,40310419,102543518,76636200,179179718,44,42,B,B,Other/Team,,2.297175872
X2,20th Century Fox,5/2/2003 0:00,110000000,85558731,214949694,192761855,407711549,85,68,A,A,Other/Team,,3.706468627
Hulk,Universal Pictures,6/20/2003 0:00,137000000,62128420,132177234,113183246,245360480,62,54,B,B-,Hulk,,1.790952409
The Punisher,Lionsgate Films,4/16/2004 0:00,33000000,13834527,33810189,20889916,54700105,29,33,B,B-,Other/Team,,1.657578939
Spider-Man 2,Sony Pictures,6/30/2004 0:00,200000000,88156227,373585825,415390628,788976453,93,83,A,A-,Spider-Man,,3.944882265
Blade: Trinity,New Line Cinema,12/8/2004 0:00,65000000,16061271,52411906,76493460,128905366,25,38,B,B-,Blade,,1.983159477
Elektra,20th Century Fox,1/14/2005 0:00,43000000,12804793,24409722,32271844,56681566,11,34,B,B,Other/Team,,1.318175953
Fantastic Four,20th Century Fox,7/8/2005 0:00,100000000,56061504,154696080,175883639,330579719,17,0,NA,NA,Fantastic Four,,3.30579719
X-Men: The Last Stand,20th Century Fox,5/26/2006 0:00,210000000,102750665,234362462,224997093,459359555,28,40,B,B,X-Men/Wolverine,,2.187426452
Ghost Rider,Sony Pictures,2/16/2007 0:00,110000000,45388836,115802596,112935797,228738393,57,58,A,A-,Other/Team,,2.079439936
Spider-Man 3,Sony Pictures,5/4/2007 0:00,258000000,151116516,336530303,554341323,890871626,26,35,B,B,Spider-Man,,3.452990798
Fantastic Four: Rise of the Silver Surfer,20th Century Fox,6/15/2007 0:00,130000000,58051684,131921738,169991393,301913131,63,59,B,B+,Fantastic Four,,2.3224087
Iron Man,Paramount Pictures,5/2/2008 0:00,140000000,98618668,318412101,266762121,585174222,37,45,B,B,Iron Man,,4.179815871
The Incredible Hulk,Universal Pictures,6/13/2008 0:00,150000000,55414050,134806913,128620638,263427551,94,79,A,A,Hulk,,1.756183673
